Name,Symbol,Total Supply,24h Volume (in coins),Supply/Volume Ratio
Bitcoin,BTC,"19,812,625.00","1,015,157.04",19.52
Ethereum,ETH,"120,501,725.21","19,781,797.34",6.09
XRP,XRP,"99,986,637,553.00","5,870,617,104.55",17.03
Tether USDt,USDT,"141,435,444,705.82","300,348,419,520.42",0.47
Solana,SOL,"592,447,286.81","131,727,944.83",4.50
BNB,BNB,"144,005,613.15","4,452,687.33",32.34
Dogecoin,DOGE,"147,699,686,383.71","26,916,895,759.38",5.49
USDC,USDC,"48,044,051,793.04","31,530,509,418.08",1.52
Cardano,ADA,"44,995,071,248.93","2,905,977,784.32",15.48
TRON,TRX,"86,150,875,960.95","8,078,739,670.44",10.66
Chainlink,LINK,"1,000,000,000.00","115,301,185.45",8.67
Avalanche,AVAX,"449,777,724.66","30,490,132.64",14.75
Sui,SUI,"10,000,000,000.00","668,540,962.47",14.96
Stellar,XLM,"50,001,786,899.90","2,980,688,117.46",16.78
Hedera,HBAR,"50,000,000,000.00","4,195,887,256.24",11.92
Toncoin,TON,"5,120,304,430.41","92,677,679.42",55.25
Shiba Inu,SHIB,"589,508,389,100,807.25","75,809,326,278,334.88",7.78
OFFICIAL TRUMP,TRUMP,"999,999,993.45","866,620,380.96",1.15
Polkadot,DOT,"1,540,425,834.06","120,759,184.07",12.76
Jupiter,JUP,"9,999,978,975.41","816,127,522.63",12.25
