Name,Symbol,Total Supply,24h Volume (in coins),Supply/Volume Ratio
Bitcoin,BTC,"19,829,790.00","822,010.81",24.12
Ethereum,ETH,"120,578,289.22","12,652,930.22",9.53
Tether USDt,USDT,"144,565,545,354.84","128,161,657,479.19",1.13
XRP,XRP,"99,986,418,374.00","3,089,540,551.75",32.36
BNB,BNB,"142,476,239.25","3,402,762.77",41.87
Solana,SOL,"594,984,041.79","37,707,906.09",15.78
USDC,USDC,"55,962,587,315.69","11,324,384,768.17",4.94
Dogecoin,DOGE,"148,217,986,383.71","9,737,355,102.00",15.22
Cardano,ADA,"44,995,048,943.82","1,326,705,372.85",33.91
TRON,TRX,"86,073,914,155.15","3,649,361,239.73",23.59
Chainlink,LINK,"1,000,000,000.00","42,116,431.42",23.74
Litecoin,LTC,"84,000,000.00","16,542,779.48",5.08
Avalanche,AVAX,"450,713,332.60","24,985,186.62",18.04
Sui,SUI,"10,000,000,000.00","454,932,839.93",21.98
Stellar,XLM,"50,001,786,894.45","826,006,592.75",60.53
Toncoin,TON,"5,123,331,677.20","47,945,238.26",106.86
Shiba Inu,SHIB,"589,507,087,037,888.75","18,972,145,695,084.81",31.07
UNUS SED LEO,LEO,"985,239,504.00","469,120.29",2100.19
Hedera,HBAR,"50,000,000,000.00","1,988,464,047.93",25.15
Polkadot,DOT,"1,552,635,025.62","65,746,184.54",23.62
